N,F,f,m,r,pfail
2000,1/4,1/2,4000,11,1.0
2000,1/4,1/2,4000,21,0.902
2000,1/4,1/2,4000,31,0.26
2000,1/4,1/2,4000,41,0.062
2000,1/4,1/2,4000,51,0.012
2000,1/4,1/2,4000,61,0.001
2000,1/4,1/2,4000,71,0.0
2000,1/4,1/2,4000,81,0.0
2000,1/4,1/2,4000,91,0.0
2000,1/4,1/2,4000,101,0.0
2000,1/4,1/2,4000,11,1.0
2000,1/4,1/2,4000,21,0.883
2000,1/4,1/2,4000,31,0.273
2000,1/4,1/2,4000,41,0.061
2000,1/4,1/2,4000,51,0.008
2000,1/4,1/2,4000,61,0.001
2000,1/4,1/2,4000,71,0.0
2000,1/4,1/2,4000,81,0.0
2000,1/4,1/2,4000,91,0.0
2000,1/4,1/2,4000,101,0.0
2000,1/4,1/2,4000,11,1.0
2000,1/4,1/2,4000,21,0.9
2000,1/4,1/2,4000,31,0.229
2000,1/4,1/2,4000,41,0.083
2000,1/4,1/2,4000,51,0.012
2000,1/4,1/2,4000,61,0.003
2000,1/4,1/2,4000,71,0.001
2000,1/4,1/2,4000,81,0.0
2000,1/4,1/2,4000,91,0.0
2000,1/4,1/2,4000,101,0.0
2000,1/4,1/2,4000,11,1.0
2000,1/4,1/2,4000,21,0.904
2000,1/4,1/2,4000,31,0.225
2000,1/4,1/2,4000,41,0.064
2000,1/4,1/2,4000,51,0.019
2000,1/4,1/2,4000,61,0.001
2000,1/4,1/2,4000,71,0.0
2000,1/4,1/2,4000,81,0.0
2000,1/4,1/2,4000,91,0.0
2000,1/4,1/2,4000,101,0.0
2000,1/4,1/2,4000,11,1.0
2000,1/4,1/2,4000,21,0.871
2000,1/4,1/2,4000,31,0.274
2000,1/4,1/2,4000,41,0.068
2000,1/4,1/2,4000,51,0.012
2000,1/4,1/2,4000,61,0.003
2000,1/4,1/2,4000,71,0.001
2000,1/4,1/2,4000,81,0.001
2000,1/4,1/2,4000,91,0.0
2000,1/4,1/2,4000,101,0.0
2000,1/4,1/2,4000,11,1.0
2000,1/4,1/2,4000,21,0.877
2000,1/4,1/2,4000,31,0.279
2000,1/4,1/2,4000,41,0.07
2000,1/4,1/2,4000,51,0.011
2000,1/4,1/2,4000,61,0.003
2000,1/4,1/2,4000,71,0.0
2000,1/4,1/2,4000,81,0.0
2000,1/4,1/2,4000,91,0.0
2000,1/4,1/2,4000,101,0.0
2000,1/4,1/2,4000,11,1.0
2000,1/4,1/2,4000,21,0.905
2000,1/4,1/2,4000,31,0.299
2000,1/4,1/2,4000,41,0.072
2000,1/4,1/2,4000,51,0.008
2000,1/4,1/2,4000,61,0.005
2000,1/4,1/2,4000,71,0.0
2000,1/4,1/2,4000,81,0.0
2000,1/4,1/2,4000,91,0.0
2000,1/4,1/2,4000,101,0.0
2000,1/4,1/2,4000,11,1.0
2000,1/4,1/2,4000,21,0.913
2000,1/4,1/2,4000,31,0.296
2000,1/4,1/2,4000,41,0.085
2000,1/4,1/2,4000,51,0.01
2000,1/4,1/2,4000,61,0.001
2000,1/4,1/2,4000,71,0.002
2000,1/4,1/2,4000,81,0.001
2000,1/4,1/2,4000,91,0.0
2000,1/4,1/2,4000,101,0.0
2000,1/4,1/2,4000,11,1.0
2000,1/4,1/2,4000,21,0.888
2000,1/4,1/2,4000,31,0.263
2000,1/4,1/2,4000,41,0.07
2000,1/4,1/2,4000,51,0.008
2000,1/4,1/2,4000,61,0.001
2000,1/4,1/2,4000,71,0.0
2000,1/4,1/2,4000,81,0.0
2000,1/4,1/2,4000,91,0.0
2000,1/4,1/2,4000,101,0.0
2000,1/4,1/2,4000,11,1.0
2000,1/4,1/2,4000,21,0.877
