N,F,f,m,r
125,5,2,250,41
250,5,2,500,61
500,5,2,1000,71
1000,5,2,2000,81
2000,5,2,4000,91
125,4,2,250,61
250,4,2,500,91
500,4,2,1000,101
1000,4,2,2000,121
2000,4,2,4000,121
125,3,2,250,81
250,3,2,500,131
500,3,2,1000,191
1000,3,2,2000,211
2000,3,2,4000,251
125,5,3,250,81
250,5,3,500,131
500,5,3,1000,211
1000,5,3,2000,261
2000,5,3,4000,301
125,4,3,250,101
250,4,3,500,181
500,4,3,1000,321
1000,4,3,2000,471
2000,4,3,4000,641
4000,5,2,8000,101
8000,5,2,16000,101
16000,5,2,32000,101
4000,4,2,8000,121
8000,4,2,16000,141
16000,4,2,32000,151
4000,3,2,8000,301
8000,3,2,16000,321
16000,3,2,32000,311
